label,all_landmarks_visible,thumb_extended,index_extended,middle_extended,ring_extended,pinky_extended,wrist_dx_t0,wrist_dy_t0,wrist_vx_t0,wrist_vy_t0,wrist_ax_t0,wrist_ay_t0,index_tip_dx_t0,index_tip_dy_t0,index_tip_vx_t0,index_tip_vy_t0,index_tip_ax_t0,index_tip_ay_t0,wrist_dx_t1,wrist_dy_t1,wrist_vx_t1,wrist_vy_t1,wrist_ax_t1,wrist_ay_t1,index_tip_dx_t1,index_tip_dy_t1,index_tip_vx_t1,index_tip_vy_t1,index_tip_ax_t1,index_tip_ay_t1,wrist_dx_t2,wrist_dy_t2,wrist_vx_t2,wrist_vy_t2,wrist_ax_t2,wrist_ay_t2,index_tip_dx_t2,index_tip_dy_t2,index_tip_vx_t2,index_tip_vy_t2,index_tip_ax_t2,index_tip_ay_t2
0,1,1,1,0,0,0,0.07153,0.00726,0.16756,0.20541,0.00119,0.00012,0.00279,0.00342,0.0,0.0,0.0,0.0,-0.10991,-0.03862,-0.1756,-0.00184,-0.00183,-0.00064,-0.00293,-3e-05,-5e-05,-1e-05,-0.0001,-6e-05,0.02727,-0.03574,0.11328,-0.0733,0.00045,-0.0006,0.00189,-0.00122,4e-05,0.0,8e-05,-2e-05
0,1,1,0,0,0,0,0.05892,-0.05078,0.19037,-0.03569,0.00098,-0.00085,0.00317,-0.00059,0.0,0.0,0.0,0.0,-0.13482,-0.01458,-0.22627,0.01564,-0.00225,-0.00024,-0.00377,0.00026,-5e-05,1e-05,-0.00012,1e-05,0.08249,0.04356,0.17541,-0.01956,0.00137,0.00073,0.00292,-0.00033,6e-05,2e-05,0.00011,-1e-05
0,1,1,0,0,0,0,-0.01037,-0.05126,0.00986,-0.02704,-0.00017,-0.00085,0.00016,-0.00045,0.0,0.0,0.0,0.0,-0.09397,0.01876,-0.20958,0.04724,-0.00157,0.00031,-0.00349,0.00079,-2e-05,2e-05,-6e-05,2e-05,0.02058,0.05347,0.1276,0.00029,0.00034,0.00089,0.00213,0.0,3e-05,1e-05,9e-05,-1e-05
0,1,1,0,0,0,0,0.10255,-0.04404,0.23016,-0.11951,0.00171,-0.00073,0.00384,-0.00199,0.0,0.0,0.0,0.0,-0.09475,0.05561,-0.21578,0.08425,-0.00158,0.00093,-0.0036,0.0014,-5e-05,3e-05,-0.00012,6e-05,0.03335,0.0172,0.1534,-0.05378,0.00056,0.00029,0.00256,-0.0009,4e-05,-1e-05,0.0001,-4e-05
2,1,1,0,0,0,0,0.12543,0.03124,0.2665,-0.01314,0.00209,0.00052,0.00444,-0.00022,0.0,0.0,0.0,0.0,-0.16764,0.01319,-0.30124,0.04119,-0.00279,0.00022,-0.00502,0.00069,-8e-05,-1e-05,-0.00016,2e-05,-0.01901,0.05789,-0.16841,-0.09444,-0.00032,0.00096,-0.00281,-0.00157,4e-05,1e-05,4e-05,-4e-05
2,1,1,0,0,0,0,0.02297,-0.06959,0.09282,-0.03164,0.00038,-0.00116,0.00155,-0.00053,0.0,0.0,0.0,0.0,-0.11733,0.13549,-0.24808,-0.075,-0.00196,0.00226,-0.00413,-0.00125,-4e-05,6e-05,-9e-05,-1e-05,-0.0018,-0.06352,-0.09436,0.04454,-3e-05,-0.00106,-0.00157,0.00074,3e-05,-6e-05,4e-05,3e-05
2,1,0,0,0,0,0,-0.04343,0.02749,-0.12392,0.03857,-0.00072,0.00046,-0.00207,0.00064,0.0,0.0,0.0,0.0,0.00696,0.02193,0.24801,-0.19642,0.00012,0.00037,0.00413,-0.00327,1e-05,-0.0,0.0001,-7e-05,-0.1031,0.00245,-0.52733,0.11139,-0.00172,4e-05,-0.00879,0.00186,-3e-05,-1e-05,-0.00022,9e-05
2,1,0,0,0,0,0,-0.13116,0.05425,-0.36656,-0.07835,-0.00219,0.0009,-0.00611,-0.00131,0.0,0.0,0.0,0.0,0.08151,0.02496,0.46196,-0.02942,0.00136,0.00042,0.0077,-0.00049,6e-05,-1e-05,0.00023,1e-05,-0.04872,-0.04227,-0.42572,0.05947,-0.00081,-0.0007,-0.0071,0.00099,-4e-05,-2e-05,-0.00025,2e-05
2,1,0,0,0,0,0,-0.04805,0.02237,-0.01058,-0.1942,-0.0008,0.00037,-0.00018,-0.00324,0.0,0.0,0.0,0.0,-0.01896,-0.00585,0.14197,0.00886,-0.00032,-0.0001,0.00237,0.00015,1e-05,-1e-05,4e-05,6e-05,0.00596,-0.07931,-0.34661,0.03571,0.0001,-0.00132,-0.00578,0.0006,1e-05,-2e-05,-0.00014,1e-05
2,1,1,1,0,0,0,0.03464,0.04307,0.3467,-0.01036,0.00058,0.00072,0.00578,-0.00017,0.0,0.0,0.0,0.0,0.12151,-0.0372,0.20038,-0.01936,0.00203,-0.00062,0.00334,-0.00032,2e-05,-2e-05,-4e-05,-0.0,-0.1544,-0.04573,-0.54076,0.05368,-0.00257,-0.00076,-0.00901,0.00089,-8e-05,-0.0,-0.00021,2e-05
