label,delta_x,delta_total,velocity,angle,delta_tip2,dist_thumb,dist_index,dist_middle,dist_ring,dist_pinky,index_ratio
0,-55,55.082,0.918,3.087,55.902,142.874,142.352,126.495,119.105,119.252,1.17
0,-115,115.732,1.929,-3.029,252.715,134.406,211.783,212.25,197.396,170.485,1.095
0,-109,109.293,1.822,-3.068,255.227,139.284,212.269,210.761,194.281,185.324,1.079
0,-108,108.904,1.815,-3.013,293.874,140.943,214.888,216.178,198.172,177.775,1.089
0,-85,86.313,1.439,-2.967,278.649,143.098,215.564,219.666,202.566,164.624,1.102
0,-80,84.433,1.407,-2.816,208.137,146.014,213.771,216.123,197.041,167.171,1.105
0,-67,75.591,1.26,-2.66,192.575,145.134,207.183,213.338,197.8,167.657,1.074
0,-55,65.734,1.096,-2.562,242.349,141.283,202.072,207.954,195.041,157.762,1.081
0,-31,48.27,0.805,-2.268,125.718,140.688,201.547,204.287,191.815,166.066,1.076
0,-68,71.47,1.191,-2.829,181.497,143.892,204.636,203.745,188.502,165.315,1.101
0,-54,62.769,1.046,-2.607,205.01,143.684,204.502,202.744,186.679,165.024,1.107
0,-32,51.225,0.854,-2.246,190.011,147.275,201.698,182.124,150.233,119.281,1.34
0,-29,38.288,0.638,-2.43,173.003,147.98,203.096,185.54,166.976,133.282,1.254
0,-17,24.759,0.413,-2.328,146.014,154.78,205.38,197.284,176.233,141.778,1.196
0,8,28.16,0.469,-1.283,126.0,153.844,211.102,194.456,167.61,128.129,1.292
0,32,41.231,0.687,-0.682,99.081,150.712,205.139,193.61,175.824,136.561,1.216
0,34,35.44,0.591,-0.286,62.0,133.724,204.612,140.46,132.608,142.088,1.479
0,42,42.426,0.707,-0.142,23.087,132.97,207.772,209.093,202.805,156.051,1.097
0,45,45.011,0.75,0.022,9.849,134.807,203.531,214.895,207.781,184.7,1.005
0,43,43.105,0.718,0.07,22.825,125.16,205.767,213.841,210.193,189.19,1.007
0,30,30.265,0.504,-0.133,83.187,113.741,208.127,214.283,204.159,168.671,1.063
0,19,19.925,0.332,-0.306,116.619,110.145,209.16,214.401,196.061,173.623,1.074
0,10,10.198,0.17,-0.197,126.099,117.047,218.277,224.544,209.418,185.235,1.058
0,13,15.811,0.264,0.606,103.942,128.316,220.293,233.529,222.913,166.193,1.061
0,9,15.811,0.264,0.965,92.655,134.391,227.431,236.008,222.032,179.047,1.071
0,0,19.0,0.317,1.571,51.478,137.117,229.941,238.38,220.601,181.177,1.078
0,-3,21.213,0.354,1.713,25.612,144.257,231.327,242.095,212.349,176.819,1.099
0,-7,21.19,0.353,1.907,10.296,147.492,229.652,238.757,206.4,160.723,1.137
0,-5,22.561,0.376,1.794,22.361,152.201,225.539,228.397,178.617,124.423,1.273
0,-6,21.84,0.364,1.849,29.732,147.078,184.773,196.4,189.636,157.623,1.02
0,-5,25.495,0.425,1.768,85.376,157.267,207.135,182.165,143.544,108.042,1.433
0,58,67.231,1.121,0.53,181.747,172.2,214.17,204.005,180.768,151.119,1.199
0,45,57.009,0.95,0.661,210.889,167.242,232.312,219.536,197.223,132.575,1.269
0,50,57.801,0.963,0.526,241.232,178.466,218.323,226.338,203.416,169.0,1.094
0,50,57.801,0.963,0.526,241.232,178.466,218.323,226.338,203.416,169.0,1.094
0,78,81.908,1.365,0.31,219.173,170.792,198.217,243.446,197.952,168.834,0.974
0,75,77.885,1.298,0.273,214.22,166.652,208.923,250.667,214.462,187.115,0.961
0,66,70.576,1.176,0.362,193.458,160.465,222.83,251.915,215.935,188.566,1.018
0,53,61.4,1.023,0.529,173.234,152.463,208.926,251.285,220.495,192.052,0.944
0,46,56.613,0.944,0.622,155.129,153.075,222.83,250.428,225.338,195.243,0.996
0,24,48.374,0.806,1.052,127.287,174.471,239.069,251.782,229.107,201.301,1.051
0,15,51.245,0.854,1.274,101.863,160.73,240.784,254.244,233.343,208.022,1.038
0,-2,62.032,1.034,1.603,73.239,155.322,235.78,243.502,217.101,193.039,1.082
0,-19,61.984,1.033,1.882,43.012,159.013,228.81,238.212,206.952,183.153,1.092
0,-35,64.351,1.073,2.146,25.612,161.719,233.002,241.05,217.101,190.163,1.078
0,-48,69.311,1.155,2.336,42.953,161.4,230.0,236.578,224.415,195.243,1.051
0,-49,63.253,1.054,2.457,59.076,179.636,218.589,221.057,203.027,175.935,1.093
0,-56,70.0,1.167,2.498,98.899,163.404,206.228,209.275,180.361,155.467,1.135
0,-87,94.937,1.582,2.73,146.492,149.215,208.002,187.768,158.319,131.244,1.307
